StudentID,Gender_F,Year1_GPA,Year2_GPA,Year3_GPA,Credit_Hours_Avg,Final_Year_GPA
2020ITIBB0143,1,3.55,3.62,3.75,17.5,3.7
2020ITIBB0088,1,3.68,3.78,3.88,18.0,3.82
2020ITIBB0185,1,3.15,3.22,3.38,16.5,3.35
2020ITIBB0199,1,3.7,3.72,3.82,18.0,3.75
2020ITIBB0102,0,3.65,3.75,3.85,18.0,3.8
2020ITIBB0099,1,3.45,3.58,3.72,17.5,3.68
2020ITIBB0122,0,3.9,3.92,3.97,19.0,3.94
2020ITIBB0184,0,3.5,3.55,3.7,17.5,3.65
2020ITIBB0198,0,2.65,2.78,3.0,15.0,3.02
2019ITIBB0341,0,3.82,3.87,3.94,18.5,3.92
2020ITIBB0171,1,2.65,2.82,3.05,15.0,3.05
2020ITIBB0097,1,3.75,3.82,3.9,18.0,3.86
2020ITIBB0117,1,3.6,3.7,3.8,17.5,3.75
2020ITIBB0137,1,2.55,2.75,2.98,14.5,2.95
2020ITIBB0190,0,3.65,3.68,3.8,18.0,3.75
2020ITIBB0105,1,3.85,3.9,3.96,19.0,3.92
2020ITIBB0140,0,2.75,2.95,3.18,15.5,3.15
2020ITIBB0170,0,3.1,3.2,3.35,16.5,3.32
2019ITIBB0340,0,1.7,2.75,2.88,18.5,2.0
2020ITIBB0108,0,2.75,2.98,3.2,15.5,3.15
2020ITIBB0139,1,3.25,3.38,3.52,16.5,3.48
2020ITIBB0100,0,3.1,3.28,3.45,16.5,3.42
2020ITIBB0188,0,3.2,3.28,3.45,16.5,3.42
2020ITIBB0103,1,3.3,3.45,3.6,17.0,3.58
2020ITIBB0155,1,3.05,3.18,3.35,16.0,3.32
2020ITIBB0164,0,3.0,3.12,3.28,16.0,3.25
2019ITIBB0339,0,2.77,2.9,3.05,15.0,3.0
2020ITIBB0141,1,3.7,3.75,3.85,18.0,3.78
2020ITIBB0195,1,2.75,2.88,3.1,15.5,3.08
2020ITIBB0114,0,2.6,2.82,3.05,15.0,3.02
2020ITIBB0124,0,2.7,2.92,3.15,15.5,3.1
2020ITIBB0110,0,3.25,3.4,3.55,16.5,3.52
2020ITIBB0091,1,2.85,3.05,3.25,15.5,3.2
